hole_number,diameter_mm,h_m,l_m,a_m,b_m,q_kg_m3,charge_weight_calc_kg,primer_weight_kg,explosive_weight_kg,total_charge_weight_kg,capacity_kg_m,charge_length_m,stemming_length_m,subdrilling_m,drill_passport
6029,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6030,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6031,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6032,311.1,9.5,11.5,8.8,7.6,0.9,571.8240000000001,0.75,570,570.75,100.6,5.673459244532803,5.826540755467197,2.0,630-E030525_P_B_1.B
6033,311.1,9.5,11.5,8.8,7.6,0.9,571.8240000000001,0.75,570,570.75,100.6,5.673459244532803,5.826540755467197,2.0,630-E030525_P_B_1.B
6034,311.1,9.5,11.5,8.8,7.6,0.75,476.52,0.75,470,470.75,100.6,4.679423459244533,6.820576540755467,2.0,630-E030525_P_B_1.B
6035,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6036,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6037,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6038,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6039,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6040,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6041,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6042,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6043,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6044,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6045,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6048,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6049,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6050,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6051,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6052,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6053,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6054,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6055,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6056,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6057,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6058,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6059,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6060,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6061,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6062,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
