drill_passport,depth_m,litology_code
605-E230725_P_B_9.B,0.54,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.55,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.56,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.57,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.58,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.59,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.6,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.61,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.62,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.63,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.64,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.65,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.66,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.67,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.68,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.69,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.7,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.71,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.72,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.73,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.74,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.75,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.76,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.77,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.78,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.79,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.8,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.81,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.82,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.83,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.84,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.85,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.86,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.87,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.88,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.89,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.9,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.91,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.92,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.93,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.94,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.95,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.96,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.97,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.98,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,0.99,mica-quartz_carbonate_massive_rocks
605-E230725_P_B_9.B,1.0,mica-quartz_carbonate_massive_rocks
